indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Proportion of Natural Areas in the City,2.1313434,0.72723985,6.897448,-14.469066,0.919075,2.2286434,-0.026039876,1.6250193,-1.9014746,-0.41908646,1.8640683,-2.1891246,0.67315733,0.9853085,-3.388806,-2.398026,4.7610197,-0.32907057,0.4827406,-1.6657766,3.738072,0.08325778,-4.2954803,-0.7477462,-2.0884283,0.5129992,0.83416927,0.9359257,-1.9229177,-1.3399113,-1.2563739,4.594558,-0.18613052,-2.418882,-1.1479686,-2.6807902,-2.2740207,1.0757055,-1.467472,0.62752974,2.0075824,-2.1483507,0.656794,1.4097791,0.937109,0.1644134,-0.26876965,0.9125104,0.2641296,-1.269938,-0.2859415,-0.41301495
Sewerage system,-2.876174,10.960107,-8.913767,-0.44740474,-3.8545437,-3.8718464,-2.835751,-4.083214,-8.622755,-2.658742,2.3764937,0.4606313,-0.71544296,3.671556,2.0313492,-2.3789942,0.6021587,-0.396173,-2.2975428,-1.0158305,0.8391042,-0.44367456,-2.987269,-0.02952195,-0.44053966,1.6805146,1.2676233,-0.5214513,-1.6414334,-0.41229296,0.016301014,-0.40263188,0.62396723,0.9753109,-0.11451757,-0.10363051,-1.1082984,1.1350858,0.89385694,-0.36018324,-0.31187212,1.2636772,-0.2077316,-2.1985028,-1.1212387,-0.54349494,-0.03021428,2.1615348,-2.0164824,-2.2147014,-0.35558236,0.58733696
Territory consumed in areas not yet urbanized,0.12690593,7.4948554,11.115506,-5.871798,-0.2217537,-0.6401369,2.869532,1.9743843,-3.6528637,1.4804447,0.11219618,-2.597339,-1.376492,1.2546878,-1.7491162,-0.43784595,-0.91429114,-6.019803,0.98751575,-1.3716654,0.5438864,4.8497734,-1.8823361,1.6622148,0.54620546,-3.6165798,1.712286,-4.316819,-1.4929849,1.4405408,2.6169748,-3.354402,2.157421,0.45766973,-1.3144748,-2.6326435,1.6151435,1.1744608,-0.84225255,-0.12866323,-2.9764006,2.156886,1.1563565,1.732499,0.37721625,-0.64063025,0.241849,1.4816555,-1.841037,-0.3670622,-1.790674,-0.50109696
New urban centers in the non-urbanized sector in relation to the total growth of the territory,-8.808232,-3.3139205,9.413925,-6.9419303,3.365053,5.061354,-3.1284893,0.24937645,-1.0037328,-1.2808893,0.2625637,-0.3465348,5.127072,-1.9791592,-2.6749492,-2.2107654,5.717399,-2.7206721,1.4663866,-1.8848808,1.7678237,3.9854407,-1.2948898,0.6334589,1.9970977,-2.815251,0.536095,-2.0314596,-1.0917636,0.7170708,1.1766102,-1.3360586,-2.2550485,-1.9031179,1.0219234,0.24711423,0.7616919,-0.12778208,0.45806316,1.4207337,-0.92007476,-0.9514146,1.534204,-0.6001719,-0.8613118,-1.8005102,-0.71834034,0.47980657,-3.8232672,2.3575082,-0.92518973,1.4263939
Growth rate,-5.163848,-4.049872,0.44598526,1.4685969,-0.98234284,-2.9053023,-3.7643933,4.24596,3.6760023,-5.661337,-2.7132418,-1.4040473,5.393888,-1.329044,-4.0168743,1.5165088,-1.849494,-0.42409992,-1.356797,-0.7952057,4.893196,-0.060943257,0.1711312,-2.6370678,0.8483768,-0.5174923,1.156275,2.2177982,-2.569192,2.2286758,0.060130358,-0.6548213,1.6726509,0.27630255,1.0209771,-1.1881309,-1.2760295,-1.121745,-0.8926196,-0.14564738,2.1916094,-0.73927104,0.15133342,-0.744503,2.0173624,-3.22396,-0.70710236,0.56753457,-0.21173882,2.0248728,0.99744725,-1.7831448
indicator of urban fragmentation,-6.042258,-1.7101487,4.633874,-7.6945972,0.525748,-0.06791073,1.08847,1.3301113,-3.3799744,0.7101394,5.336377,-5.9121065,3.3797307,-1.2550604,-3.973083,-4.7404113,4.6941543,-1.6515846,2.9458947,1.3752177,-3.1646056,1.5127103,0.9646796,-0.2795497,0.78601927,1.8469079,-0.94102275,-2.0313249,0.38943496,0.4457916,1.1331527,-3.6902266,-1.5520291,-0.25561202,-0.8195546,0.8230856,4.895831,0.49875724,0.23446548,0.4948596,-1.3336964,1.0017366,-1.1642644,-1.2127938,-2.903384,-1.375809,-0.4646832,0.720646,0.55936635,-0.55166435,1.3447281,-1.0177753
urban compactness index,-5.945144,-1.9993515,-2.9968967,2.2570317,5.574493,2.5379076,2.9204988,-0.54174155,1.4002659,-4.542531,1.0780035,-5.8329167,-0.54263896,-4.468277,1.2879398,0.53185606,2.5029256,0.24879858,-0.04558306,0.5860896,2.8371258,5.1278143,1.7747686,0.6066582,-2.7167382,-2.4549792,0.5656856,2.1541038,-1.9497526,-0.7442598,1.2588413,1.149763,-4.430824,0.15261438,-2.2834585,-1.8616279,0.46942806,3.2160635,1.9090065,-1.1148678,0.39222792,3.3795164,-0.05574471,1.0349714,1.0711205,1.2120763,3.0041785,-1.2818558,-1.6134685,0.17397752,-1.3783128,-0.8149029
Public green areas per capita,-5.378212,3.0087638,6.2998247,-4.595546,8.516004,-2.8645463,-6.321797,3.9411893,-1.4906718,1.4923925,-6.8773026,0.43752772,-2.9161384,0.5604063,1.3374715,0.41304064,0.68086004,2.6119976,2.4979315,-0.7629552,0.72173196,-2.5730267,-0.9567562,2.4791026,1.5553093,1.6192236,-1.1840761,1.6382838,0.41909996,-0.26329598,1.23192,-0.75238603,-0.81716293,0.0647982,-0.25244546,0.317325,-0.4939329,-0.07616798,0.11926934,0.08427757,-1.2818456,0.35291523,0.289487,0.76915,-0.41520673,0.91102386,0.06984783,0.21452713,0.09013082,0.22522509,-0.008908927,-0.916377
Area of green land in built-up area,-4.3341494,1.2468324,6.8570857,-1.2433774,5.982777,-1.417665,-5.362749,11.175501,-2.0973577,-4.6099205,-1.2890389,-2.3132014,1.0477836,4.6923695,-0.13083196,4.0774093,2.8255568,0.30123872,-0.70877826,-0.24781543,-0.34536684,-0.9732556,-2.314588,0.033445716,-0.6721455,3.426517,-1.7310071,0.81168765,-0.2539472,1.4923354,-1.2574248,-3.4191089,-1.6638359,0.8780351,-2.2402744,0.13768385,0.40600064,-1.1965153,-0.18286529,-0.5808606,-1.3335048,2.2062645,0.83537513,-1.0856845,0.3104267,0.1163633,0.31257668,-0.22504386,-0.048508808,-0.65530986,-0.80779654,-1.0685291
Green land cover rate in built area,-1.0728383,5.689893,9.347489,-0.46010533,5.0303874,-1.831898,-4.7973647,10.926828,1.0555918,-6.8865848,-2.7843432,-0.1419397,-0.6163492,2.2373276,0.811309,1.357441,0.6629654,0.699998,0.074576885,1.589653,0.043186784,1.1662147,1.1603031,-1.1647391,0.5256299,1.5036032,-0.89143133,-0.25450784,-1.3012325,0.19227093,-1.1150655,-2.6204267,-2.6468275,-0.36255604,-0.63810647,0.41931903,-1.246779,-1.9348382,-0.8167047,-1.5793598,0.38054365,-1.3311018,2.4004714,-1.5421431,0.25770158,-0.6089069,-0.7371151,1.4206972,0.28684688,-0.3314133,-0.8844617,0.39452255
Percentage of building land in built-up areas,-5.9354196,-2.6924882,5.2715077,3.6534495,-0.063329175,5.6839314,-3.5989976,7.59927,-3.265932,-8.764237,2.085842,-2.3852782,4.9686456,4.3938756,1.5211335,2.914772,0.65017223,-1.465628,1.6889598,-1.8059877,-1.2994003,4.6180744,1.9685562,-1.1593735,0.2622471,2.8484187,2.9158988,-2.3581579,0.1272231,-1.4764409,-1.3745486,-2.2902527,-2.6180592,1.556226,0.17626622,1.4967799,-0.71242356,-3.0084276,-1.8529823,-1.4542327,0.55199265,-1.8542535,1.354054,-0.7210568,0.8983463,-0.8770329,1.842473,0.300196,-0.5276151,2.3182154,-0.17780772,0.051351607
Road Surface Per Capita (M 2),-12.933435,-1.505938,2.1193244,-2.2746482,3.80481,-0.63263154,2.4976149,0.47086942,-0.28254718,2.1056886,3.690576,-3.5250077,0.14418796,1.6970203,0.37984672,-2.3458605,-1.2053632,0.25152004,-1.0785571,-0.022977054,1.4348484,1.5920246,-1.5522255,3.8278282,-1.0607026,0.6213068,1.6008532,0.26559603,-2.3841734,1.2048683,1.5670899,-0.8814698,-4.097032,-3.3755476,0.62674993,0.5934578,2.0054672,-0.59680974,1.2196934,-3.8923228,-3.0784216,-1.6795938,1.8509521,1.9628994,0.7082447,-0.03788972,-1.9173901,-0.6813961,2.0188553,-0.9323932,-2.8708987,-4.540582
Green space,-2.3527253,3.9216702,4.0665855,-0.5677608,3.8524642,-8.406503,-1.8163013,4.621376,1.2243209,2.0630317,-3.155138,0.813468,1.3229387,2.8763742,2.6441212,3.243392,0.18146552,3.0463605,-1.6701455,-0.47666976,0.27849603,-3.48568,0.32248205,-2.1983604,-1.555508,-1.6067686,-2.1541271,3.2046669,-4.643769,1.5182189,2.1375062,-0.78202003,-0.21898542,1.6948534,-1.0108517,-0.8363972,1.8993924,-2.7184868,-0.9179449,1.3200014,0.44322133,0.38525102,1.1185817,0.33767554,-1.1141747,0.14228043,-0.8817221,-0.3246467,1.3000815,-1.0999324,1.0893717,0.21565299
Streets with sidewalks,-5.360164,-1.2735193,-0.19906726,-2.3717103,5.618129,1.3846116,1.2496309,2.010075,-7.007474,-4.360544,1.2829351,-4.694909,-0.82378703,-2.7966957,-2.7032595,-2.067043,3.4791174,0.7383779,1.3845166,-0.5447221,-1.5500712,-0.8045194,-3.0064192,1.0039127,0.07253054,3.3686867,-0.26931685,0.12572476,3.1785097,0.1959905,-2.4938772,-1.1664743,-2.001961,0.1626218,2.4430804,1.924342,1.2270169,0.7961917,2.4510298,-0.4570198,-1.0898114,-0.3190331,-1.4801184,-3.091855,-0.910507,-0.8398391,-1.1033287,-0.877533,0.7318188,-3.5847216,-2.9168253,-0.61354595
Land Use Mix,-0.124868125,10.577447,2.3440645,-0.11587952,-2.0615273,-3.5463374,-3.765431,4.0011663,-1.3621596,-5.9206195,0.016777456,-2.8336391,-0.78419286,-3.9649177,3.9782476,1.5798177,0.70089954,-2.8795664,-3.6746244,1.2178575,-2.838095,4.468438,1.2584473,4.202013,0.010017425,3.6397374,-3.3461108,-5.244095,1.0787393,1.7389035,-1.8333224,-0.30389655,-0.730445,-0.8127889,-2.8979359,0.9086196,-0.020570397,-0.17732349,-0.71217674,-3.0042913,-1.3160805,-1.7723413,-2.5363293,-0.011984721,4.789879,0.42108664,2.0279627,1.5374434,0.0019604415,0.8099532,-0.3946578,1.4698544
Comercial land use,-1.0172591,5.7314415,-2.1877718,1.9094634,-2.751253,7.1546307,1.6738572,9.787728,0.022245467,-1.8818471,-1.890948,-1.1103032,-0.3856274,-2.3612397,1.2490776,1.233433,-1.0110565,-1.4901295,-1.7038314,-4.1706085,-0.7435641,2.8610716,-2.2208166,3.3869195,3.478046,-0.98447585,-1.0910398,-3.2499833,4.5609927,3.2810283,-1.0432464,-0.414603,-4.051753,1.020268,-4.32864,-2.6258953,-1.8597512,1.417606,0.7562744,-2.9041173,0.2763891,2.421707,-0.40172946,-1.5914285,1.3162873,-0.22909005,1.0377415,-0.0038882121,-4.740504,-0.040051453,-0.944556,-1.4587411
Residential Land Use,1.3837258,2.5939178,6.8784556,9.216603,-0.8463615,4.2644234,-1.1027074,7.551655,-5.90754,-2.9642358,1.191866,2.3255851,-2.735179,0.119858086,-0.9800283,0.17355192,0.18638568,1.5731597,-7.5386662,4.3967447,-0.5772042,1.2767304,0.008841973,-0.55334747,2.6471844,0.4068944,-0.41329896,-2.6035078,0.89702815,-0.6361085,-0.053061888,-1.0355048,-0.6173772,2.58918,-3.1679556,2.2060986,-1.8841019,1.1889468,-0.9434784,-0.313675,-0.17995141,0.7509439,-0.0064137876,1.8634942,3.818581,2.022131,0.6061225,1.073444,-1.0237641,-0.001722455,-0.379805,-0.79772085
Resource-industrial land use,2.6107152,5.13395,-2.7104478,-3.3170218,-6.608516,0.564338,0.50439435,8.097045,0.06457886,-5.048973,3.939176,2.443901,1.0574541,2.501574,1.1886865,2.2055638,-1.3514127,1.5359341,-2.4030068,-2.9538286,0.014518052,3.7380614,-3.4731808,2.6249652,2.332006,-0.9788887,-0.22011364,-3.46918,-2.5838053,-0.96624076,-2.0046904,-1.1125007,1.6034156,3.4674637,-3.7125363,0.9395139,-1.7765698,0.87167543,0.65977293,-2.6482131,-1.2813065,-0.18260095,0.9707997,1.0213801,3.282885,-0.36824548,-1.5495338,-0.506191,-0.2845866,-0.09735374,-1.5629871,-1.307505
Park land use,3.4664693,3.1237178,1.7596755,-6.911353,1.2010989,0.9578432,-0.15001838,10.14357,-4.0949993,-0.71539074,-0.73243123,1.2070879,-3.6263328,2.1431022,4.296488,0.773669,-0.47294503,-1.3263919,-2.472024,2.4675188,1.5658238,-2.3535545,-1.3590112,2.8525567,2.1488817,-1.1995792,0.6345564,-3.4322548,-1.5304313,-2.9464579,0.65653324,-1.2445328,1.2907348,0.034941494,0.48534262,1.9832339,0.46632582,2.5103621,0.196033,-1.0206972,0.3910887,0.057148397,3.103683,-1.157369,1.4517955,-0.277961,1.0058305,-2.8003554,-0.43817395,0.3735708,-1.4461126,0.21450964
Government-institutional land use,-1.4552912,6.3273954,3.4447207,1.2246853,-0.28939885,1.99389,-3.6757421,7.5108376,-5.2218995,-6.2903857,0.601917,-3.3491645,-4.999787,6.148013,2.1397367,0.86821413,1.226908,0.91699374,-2.105555,-1.3453636,0.94605887,0.9616548,2.4559734,3.4338503,-0.9904618,-2.2842705,-1.618277,-3.2480073,-0.7816551,0.0022791624,-1.2717559,-1.6291397,-2.5460572,-0.71523064,0.6266357,0.7446716,-0.7348751,-0.22889277,-1.213887,-0.7467779,-0.2811991,1.6597248,0.8513668,0.7366588,0.77920055,-1.6418624,1.6355428,1.0322942,-1.3588479,-0.42309162,-0.2525754,-1.7049038
One-year residential mobility,-6.776825,-0.7983506,8.29359,5.4511585,0.5297625,1.3729041,3.1384935,-2.631726,-1.37345,-3.3909206,-1.056991,-3.5626836,2.3733878,-1.0278404,1.2833468,-2.4203045,4.4186854,-0.2112841,-1.7548561,0.3804296,0.40897912,0.85383034,3.597696,-1.931748,3.989505,-4.3296213,-1.9360731,1.3473941,-1.1313026,-5.199832,0.5911083,0.11216505,-0.7626547,-1.0886333,1.758613,0.37920696,-0.24583799,0.86409533,-0.6600794,-0.3989507,0.06176105,1.4424038,0.89212143,1.1901907,-2.4692247,2.2607977,0.71256495,-2.260323,2.033412,-1.5397353,-0.59869,-1.5998776
Homeownership rate,-0.636855,0.29925483,7.200444,12.136705,-0.6657432,3.149026,-1.0766907,4.3775897,-5.2248344,-1.8733295,1.1129299,4.456008,0.71077234,-0.7598253,0.049426436,-2.8994455,-2.0751233,-0.06716421,-6.047632,1.4317583,-2.624773,2.8253732,-0.8070642,-4.0620174,1.1981056,-1.9635773,1.3174,1.9030435,2.7524369,-1.9073929,0.44085282,0.14876932,-2.5365927,0.75211966,1.7386546,1.3812116,-3.701177,-0.8976633,0.9501564,-1.8333154,1.8711458,-3.2425478,2.4125593,2.0718684,0.22340715,0.3151221,-2.1147618,1.537762,0.55088514,-0.26380107,-1.3187127,0.47020176
Vacancy rate,-2.5693471,1.229022,6.139661,-1.7443961,1.3361182,-3.4238956,2.8836892,1.2612532,-3.8805437,4.311672,-0.3067206,3.5446296,9.036288,-3.7993224,-3.8138437,0.5848509,0.22683644,-1.0093956,0.19974303,-3.02526,-0.93443733,0.5532037,7.6049504,-4.5934677,2.6316967,-3.6661725,-0.6110668,-4.2915783,-2.763349,-2.1845224,1.865962,-2.8538332,-1.8251181,-0.88879216,-0.9878494,0.21708834,1.0915802,1.473047,-1.4268857,0.37489638,-1.1568847,0.14400306,2.2011166,-0.67822665,-1.4649593,1.5274936,-2.056258,0.93173075,1.2057066,2.854732,-0.8247843,2.1164393
Green infrastructures,1.9117022,4.9874096,3.8325672,4.018102,4.2347784,-2.9897408,-7.103574,4.296809,5.648686,-3.7301369,-2.6059384,-2.0179427,-4.9053106,3.467588,1.603488,3.023162,1.5794314,1.3744236,-2.0235252,1.5126443,0.028459422,-2.3924303,-0.8711808,-0.7191026,-4.3351264,0.6744977,-2.347413,2.3201244,-1.3477829,1.1558642,-0.44102138,-4.126889,0.46574664,0.10940847,0.42684197,1.8338594,-1.0358813,-1.646272,-1.1234424,-1.0942779,0.5364964,0.86116374,0.38409454,0.3010462,-2.6123717,1.5424199,-1.2231803,2.1544833,-1.2101524,-1.8343214,0.15380853,0.48492458
Land use change,1.7898936,3.8389752,1.602282,-1.8600552,-3.2962189,-6.4370923,-1.0528295,4.4718986,-0.66703916,-8.524876,-2.9159331,-2.1782417,1.4231517,-1.4807093,-6.0694942,-0.20239334,2.297934,-3.457725,-2.5257776,2.45051,-5.3060746,6.956651,0.42750472,2.14898,3.8870447,-0.47780418,-4.953495,-2.008368,2.227131,0.13929045,-2.0356004,-0.31226602,2.455058,-0.9337368,-2.7214184,-0.69485134,1.5254743,-3.325002,-1.0187045,-1.7757845,0.71720195,-3.4856005,0.9191946,-0.18939137,1.9774668,-1.1308131,-0.95042706,-2.080746,-1.7020867,3.6806903,0.322501,0.2537072
Green space cover,-2.5487955,5.547277,4.8966413,-0.10608196,4.8217273,-8.18107,-0.74373657,4.5050063,1.5137961,0.5045668,-3.128718,0.2545132,-0.5259835,3.4600556,2.13346,2.9885864,-1.4372841,2.2640958,-0.5261795,-0.5184777,-0.33266765,-2.5813823,0.29824388,-2.9640694,-3.0768633,-1.9795353,-2.0837047,2.2295156,-4.9290943,1.6901572,2.0444057,0.60667485,-0.6025686,1.067337,-1.6102617,-1.2739999,0.65856564,-2.9043517,-2.3475213,0.6653144,1.1941421,1.4662331,-0.8871068,0.12621638,0.14060646,0.6353005,-1.3042812,-0.91629326,0.5697921,-1.165603,0.10515235,1.4295318
Public parks and gardens,2.549357,1.4169934,3.5987895,-6.677391,4.0292683,-0.5423354,-3.9114847,3.908264,-4.1271825,0.1023089,-2.7513986,2.5150466,-4.679178,0.9339146,2.3441455,1.6565568,1.7456222,0.69246674,-0.6576303,-1.0631738,0.6880014,-4.3700075,-0.6023265,3.911344,-0.3564107,0.1509665,1.6583109,-0.23836547,-0.31045625,-1.0071961,1.5820986,2.7856627,1.124825,-0.5956356,1.708992,1.8775065,-1.8397275,-0.09902786,1.6639591,1.7336736,0.7646488,-0.36170363,0.12907276,-1.660641,-0.5366671,-0.045282908,1.2562319,-0.6078031,-0.10475892,-0.71907985,-0.27246833,0.5440092
Safe construction of urban buildings,1.324075,-2.237969,-2.3243551,1.6842067,14.4725685,7.2882156,-1.0388794,0.463051,-1.1875513,-3.79247,3.2941592,-3.551468,2.0815456,-1.0393759,-0.13737012,2.1017933,3.224959,-1.1179533,-1.3989869,-0.52621716,3.8913376,0.6511761,-3.1927564,-2.1323645,-0.3836133,0.08794838,0.03297305,0.39587963,-0.54948854,-0.9837332,-0.25999504,-2.5414898,-3.0264482,-0.13496765,1.098868,0.6029997,1.0919987,-2.8874314,-1.5124564,-1.7888384,-1.4367685,-2.1448083,-1.2184227,0.106869906,1.4873152,0.054889016,0.8392091,1.4866257,-0.15702611,-0.6693853,-2.0866086,2.7572517
Water consumption on irrigation of green spaces,0.3265919,14.733847,-0.6821573,-6.2474575,1.7001493,-2.415788,-4.052291,2.2325478,-2.267774,-4.1732926,-7.1863036,4.690891,1.1821518,5.0659676,1.8760579,-0.034668136,-2.4717526,-0.81123316,-1.0536599,1.8039607,0.44483966,-0.6412235,0.031540915,-1.3104799,-0.42560714,-1.3865397,-0.80560124,-1.4434707,-0.01863426,0.6338191,-0.62846595,-1.3211195,-0.24347502,0.23294425,-1.3417372,2.1012828,1.9247518,-0.89939654,-0.5383245,-2.0076342,-1.6471945,1.4706295,-0.41744095,-1.1539986,-0.8094443,1.2130368,-0.8983399,-0.3933847,-1.1062603,-0.70910764,0.7164062,-1.0530456
Housing construction materials,1.4487929,-1.0982156,-2.1492083,14.24132,2.0689602,2.2818718,-5.670355,4.233711,-3.4148424,-4.4415607,6.9089894,1.4947988,-3.5204258,2.4375787,-1.4055825,4.7834973,1.8726995,-2.7268918,-2.8077197,-0.055078387,0.91316414,-0.35837916,0.771595,-2.1545794,-0.95667946,-0.41899103,2.0808117,2.2759407,3.6596794,-3.071124,-0.36271083,1.8012333,-0.0460196,1.1789232,-0.1958724,0.3898884,-1.8126628,-2.1299822,0.085143,-1.361972,-0.11322597,-0.9957756,-0.87394494,0.14981234,1.2407522,2.3896313,-0.4668835,-1.7465019,1.0963211,1.231224,0.90504783,2.4291856
Land use,1.9341738,7.4487557,3.780813,2.6697538,-0.60794204,-4.3539658,-1.0270585,8.274255,-2.427791,-6.4427686,-2.017403,-3.029316,0.13250092,0.8641819,0.55725783,3.5806642,-0.4123884,0.88905126,-4.84368,-0.52257687,-2.951025,4.1580353,0.03938815,3.7819939,2.7379382,1.5380492,-3.4019115,-2.8114414,1.7874243,-2.381778,-1.039618,-0.6283843,0.44521874,1.038959,-2.84625,0.6465473,-2.7528515,1.6366255,-0.41128382,-3.5159369,-1.5653787,1.84215,-1.4531615,1.8139007,4.569061,-0.593439,0.791895,-0.4605376,-2.5022137,0.96803224,0.86630726,-0.55847305
Type of residence and number of rooms used for sleeping,-0.16885188,2.2105465,7.262589,6.515151,2.857612,3.4432852,1.1503737,-1.3779101,-4.1734486,-2.0110874,4.021019,1.7657684,-3.5615976,-2.9160743,-1.2736021,3.024694,-0.40842712,-0.308698,-2.9977257,0.5223553,0.94842756,-1.5574112,5.3725066,-2.6152465,-4.6433144,-2.480724,-0.83438873,-1.8492783,0.2771608,2.505734,0.276765,3.8293154,-1.9312186,-0.24236037,-3.5856557,4.6317306,0.85537845,1.7810241,-1.7502416,2.189323,-1.2786167,-0.082745135,2.987691,-1.2086992,2.4164166,-0.7652141,-0.25197667,0.862502,3.0212386,2.5804315,-0.26226923,-1.0614552
"Main ceiling, wall and floor material",-3.0324266,-1.0092983,1.1845846,8.083419,0.65645915,2.1967564,-4.626719,1.0465889,-3.3859186,0.016022708,5.082512,-6.2249722,-0.52820015,2.5245814,3.809504,2.4059572,1.1518137,-0.7372086,0.5844271,-4.685671,-0.0066438615,2.1053998,-0.85560596,2.237717,-2.7713518,2.0969834,-0.64771175,0.45563838,4.607908,0.4789837,0.485056,0.79041535,-0.4264983,1.4956529,-0.6857082,-1.583598,0.6454289,2.7581809,-0.5611521,3.8581347,-0.20355844,-2.1199756,-0.6107062,1.104702,-0.23653042,2.8450813,-0.582196,-1.1161413,1.2106476,2.0771177,-2.1183577,1.8745935
Amount of land owned by the household,0.9233328,5.345296,6.9021864,10.246707,-3.2529528,0.43506813,0.30286786,8.43003,-8.350261,-2.6556609,-1.4118578,3.1841354,-0.40939218,0.6867894,-0.5452881,-1.5179175,-0.5378823,0.21061695,-4.5919023,3.0236948,-2.455631,5.0565634,0.5534793,1.4159218,2.061762,-0.7976855,0.2106485,0.48594707,1.5743384,-1.0376476,1.0447619,1.5878305,-1.6470112,1.9232173,-1.0919538,3.3267975,-3.1705096,2.1896403,-0.3404518,0.1366815,-1.3196709,-0.035923988,-0.07775408,1.1715314,-0.79858655,0.77675235,-1.4008963,1.3732331,-0.5493237,-0.15502223,1.8404558,-0.28103742
Green infrastructure and green city initiatives,-1.8638116,0.6056794,0.015976965,-2.4683146,6.463826,-2.4765913,-7.9343,3.980431,2.676682,-6.91146,-4.1626177,0.1599274,-3.0240622,1.1480772,1.9902356,1.6485848,5.676357,0.8335625,0.82333153,1.2466164,-0.40879482,-3.3465214,-0.5933474,-2.6367645,0.071915,3.752644,-1.7070765,1.9158409,0.35947987,0.41371065,0.039362073,-1.8018804,-1.2286,-0.7375551,0.29619393,1.1611632,0.5781124,-2.7506938,-0.37987787,1.6733876,0.019012302,1.2081639,0.6978075,1.3271773,-1.9617412,2.2355654,-1.0689783,0.61599183,-0.18480584,-1.3963462,1.382292,-0.49146038
Area of green/blue space (per capita),-6.0079594,7.3698664,8.545658,-3.8024592,5.683751,-5.2952003,-5.399557,3.0613604,1.9942148,5.032096,-2.1842096,0.18733358,-1.9123724,3.5586429,2.2707088,-1.4384978,1.3021477,1.4243126,2.2440739,0.3438389,0.58859664,-1.0906447,2.1555839,-1.8177257,-1.5185227,-2.9537935,-4.4486547,0.91292644,-3.717009,0.026282787,0.27866948,-0.10421944,-2.361329,2.0409696,-1.452035,-2.0226703,1.6874828,-0.8912833,-2.231528,2.7834456,0.22875422,1.3818264,-1.9813564,1.5697273,-1.0345172,0.34405434,-0.56406516,-0.6284352,-0.5372144,-0.46749616,3.7464771,-0.13980967
Cycling infrastructure options and facilities,-0.5972514,-4.856036,-3.8713129,-3.8271866,-0.4497587,-1.8959526,-5.562648,2.6771164,0.25195402,1.8472568,0.37483823,3.0645733,-9.165624,-2.0875943,-0.14797433,2.1576715,1.8470699,-3.260275,1.7589972,-2.9217467,1.5807048,2.466003,1.1186626,-3.3064225,-1.6022867,-2.985034,-1.2009765,-1.5914321,1.3168573,0.32706383,1.2925385,-3.1470797,-0.068169,-0.65236616,-2.5181513,2.3254879,5.438052,0.115952864,2.0798092,-1.8658677,3.148781,-2.638704,-0.011381164,0.12784645,-0.34674287,1.6082205,-4.452776,2.0501194,-1.9215895,2.148851,1.5685288,-2.2284923
Accessibility to green spaces,1.0031781,-0.5053006,3.9959922,-7.761737,4.58978,-8.657905,-4.5657735,4.8744383,-0.91440547,2.8287575,-4.6740675,2.734539,-3.8883305,1.3500826,-0.46539098,-0.18213582,-0.48251176,-0.7086132,-0.53051835,-0.19847226,-0.1776996,0.49653488,0.26810843,-1.3961139,-1.1113801,-0.60377574,-2.685987,3.375358,-0.92665786,-0.6242115,-1.7749765,-0.38488,-0.74705774,1.9403276,-1.3736596,-1.0874149,-1.3890402,-0.8586576,-3.9667604,-1.0317585,-0.7065964,2.1965687,0.8683038,1.1529953,0.8786005,0.7220391,-0.7537806,-1.0572324,0.24405724,-1.3777851,-0.21611542,-0.8889626
Provision of green spaces,1.3087356,3.489358,2.8296194,-1.9433646,6.478459,-7.9445686,-5.2221937,6.239275,0.7729336,2.7195954,-4.8970046,1.5415399,-3.8301854,-0.22589964,1.0222614,1.0727141,1.6192098,-1.0861162,-0.75169176,-0.30259165,0.25428492,-1.5562611,-0.35732105,0.5498565,-1.0795653,2.6758811,-3.6152701,1.4895074,-1.2284807,0.43133098,-0.13164707,-1.9059114,-1.3365984,0.1787807,-1.5932541,0.93607503,-0.44330576,-0.21693575,-2.0411518,2.1310728,-0.98115414,2.6843994,0.08536163,0.39239395,-0.36951074,0.30541053,-0.15379709,0.9635755,0.20630667,-0.80505455,1.0411627,-1.1429548
"Green/blue urban area  UMZ of core city (EEA, )",-10.372906,4.1684365,2.2789161,-3.442044,5.938613,-1.8289821,-4.5891547,0.91328436,1.5320644,-2.7574577,0.86021316,-4.5350637,-2.2840047,2.1221547,6.0156302,-2.1290357,7.104565,1.0347449,0.2571603,-3.1209364,-1.912504,-4.826931,-1.4044378,-0.06878078,-2.4032817,1.2501919,-1.9787874,0.32658172,-0.16143158,1.8463564,-2.6306038,-0.84676135,-2.567881,0.1982587,-0.83698595,-2.9814188,0.39063394,4.4228435,-1.4535621,4.136625,-0.81659484,0.4969766,-0.6721691,0.6486889,-0.62756425,-0.2896421,-0.2880916,0.0040836036,-0.7898296,-0.8147609,1.8428357,-0.12487087
