,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Energy consumption in municipal buildings and public places,Number of cultural sites affected by natural disasters and urban expansion,Urban green space,Funds for the improvement of the physical urban environment,Proximity to residential areas,Enhancement urban green,"0,37","0,33","0,3","0,27","0,26",general
Energy consumption related to waste management,Traditional and environmental engineering,Therapeutic value,Viewsheds,Local concept of sustainable use,Garden planning suitable with environment,"0,3","0,24","0,23","0,21","0,18",general
Energy consumption related to water cycle,Perceptions of marine associated spirituality,Maintaining traditional irrigation system,Local concept of sustainable use,Traditional and environmental engineering,Spiritual services,"0,38","0,3","0,24","0,21","0,2",general
Energy efficiency,Revitalization historic spaces,Cleanliness and Improvements,Efficiency of landscape management,Wellness acoustic,Enhancement of industrial,"0,38","0,38","0,32","0,28","0,28",general
Energy extraction from waste,Viewsheds,Archaelogical sites,Traditional and environmental engineering,Archeological reserves,Loss of authenticity and becoming impersonal,"0,34","0,31","0,3","0,27","0,23",general
Energy intensity of the economy,Effect on local business and jobs,Effect on Property Value,Therapeutic value,Enhancement of industrial,Number of products of denominated origin,"0,42","0,37","0,36","0,33","0,31",general
Energy intensity. MWh consumed per M€ of value added produced,Effect on Property Value,Therapeutic value,Availability of cultural site maintenance fund and resource,Revenues from tourism (% farm income),Memory/transformative value,"0,42","0,4","0,37","0,37","0,37",general
Energy management,Traditional and environmental engineering,Garden planning suitable with environment,Effectiveness of landscape management,Cemetries,Efficiency of landscape management,"0,45","0,3","0,28","0,28","0,27",general
Entrepreneurial activities in the municipality,Effect on local business and jobs,Organizations listed on Councils Artist Register,Creative hubs and meeting points,Funds for the improvement of the physical urban environment,"Commercial activities linked to Crats, Artisans, Craftsmanship,","0,7","0,42","0,36","0,36","0,35",general
Entrepreneurship,Effect on local business and jobs,Enhancement of industrial,Organizations listed on Councils Artist Register,Creative hubs and meeting points,Type and amount of training given to tourism employees,"0,67","0,47","0,41","0,4","0,35",general
Environment and Sanitation,Traditional and environmental engineering,Garden planning suitable with environment,Garden,Cleanliness and Improvements,Plan that does not spoil natural and historical environment,"0,49","0,34","0,27","0,26","0,25",general
Environmental Management System,Traditional and environmental engineering,Garden planning suitable with environment,Effectiveness of landscape management,Plan that does not spoil natural and historical environment,Effectiveness of planning in relation to the landscape,"0,7","0,62","0,43","0,4","0,34",general
Environmental conditions,Traditional and environmental engineering,Garden planning suitable with environment,Plan that does not spoil natural and historical environment,Hotel architecture harmonized with environment,Effectiveness of landscape management,"0,58","0,54","0,4","0,4","0,32",general
Environmental impact of materials,Traditional and environmental engineering,Cemetries,Garden planning suitable with environment,Innovation and creativity to experience nature and cultural heritage,Inspirational landscapes,"0,53","0,37","0,35","0,34","0,31",general
Environmental/ecosystem protection activities and efforts,Traditional and environmental engineering,Garden planning suitable with environment,Effectiveness of landscape management,Plan that does not spoil natural and historical environment,Protection of culturally important species,"0,6","0,6","0,5","0,49","0,48",general
Equality and diversity,Spatial coherence,Accessibility,Size,Castles,AHB,"0,43","0,39","0,35","0,33","0,32",general
Ethnic diversity,Places heterotopic,Variety of flowering plants,Diversity of landscape,Percentage of Aboriginal people speaking traditional languages,Intangible heritage. Past and contemporary identities,"0,51","0,51","0,51","0,46","0,44",general
Ethnic heterogeneity,Places heterotopic,Diversity of landscape,Anthropogenic marks and footprints of human influence,Statues (sacral/non sacral),Percentage of Aboriginal people speaking traditional languages,"0,56","0,5","0,46","0,43","0,43",general
"Ethnic, cultural, and gender equality (income, access to opportunities, etc.)",Community arts funding,Number of events to popularize cultural heritage,Level of satisfaction with the visit to cultural sites of the destination,"Impairments of characteristics, aesthetic and cultural value",Valuation of local culture,"0,45","0,44","0,43","0,42","0,42",general
Evacuation During Disasters,Protection UNESCO sites,Safeguarding the terraced landscape,Loss of authenticity and becoming impersonal,Distance from the centre of the old town zone,Crucifixes,"0,35","0,33","0,33","0,3","0,3",general
Existence of a Local Biodiversity Strategy and Action Plan,Clear strategy,Level of sensitivity of interpretive material and activities pursued,Implementation of activities in the area,Effectiveness of planning in relation to the landscape,Structures: governance of cultural ecosystem services indicator,"0,54","0,53","0,5","0,44","0,43",general
Expenditure for operation of personal transport equipment,Effect on Property Value,Development of a public arts fund,Regional products sales (% PDO label),Historic monument values,Therapeutic value,"0,46","0,36","0,36","0,36","0,3",general
Expenditure for purchase of vehicles,Effect on Property Value,Values,Pressure of parking,Development of a public arts fund,Availability of cultural site maintenance fund and resource,"0,56","0,43","0,4","0,37","0,35",general
Expenditure on Infrastructure,Funds for building renovation,Renovation and new constructions,Investments required for restoration of cultural property,Levels of damage,Building footprints,"0,72","0,55","0,52","0,5","0,44",general
Facilities for Public Transportation,Accessibility,Funds for the improvement of the physical urban environment,Places of events,Critical distances in the network,Type of information given to visitors before and during site visits,"0,43","0,37","0,31","0,28","0,27",general
Family farming participation in crops and livestock,Contiguity to Farmlands,Protect hunting and trapping area,Revenues from tourism (% farm income),Maintaining traditional irrigation system,"Use of traditional or community knowledge of species occurrence, frequency and distribution","0,69","0,51","0,5","0,41","0,37",general
Feeling of belonging,Familiarity,Social bonds,"Religious or sacred place, feeling or value",Sight line homogeneity,AHB,"0,7","0,66","0,49","0,46","0,44",general
Financial Administration,Effect on Property Value,Therapeutic value,Availability of cultural site maintenance fund and resource,Revenues from tourism (% farm income),Values,"0,59","0,45","0,41","0,39","0,38",general
Fire Department Emergency Coverage,Spiritual/religious landscapes,Spiritual services,Crucifixes,Safeguarding the terraced landscape,Avenues of trees,"0,42","0,34","0,32","0,32","0,29",general
Fire Prevention,Safeguarding the terraced landscape,Plan that does not spoil natural and historical environment,Spiritual services,Composite tree risk index,Diminish the negative visual impacts of forestry operation,"0,62","0,43","0,39","0,37","0,37",general
Fixed and wireless broadband subscriptions (% of population),Percent of population participating in first salmon ceremony in past year,Social bonds,Revenues from tourism (% farm income),"Commercial activities linked to Crats, Artisans, Craftsmanship,",Crucifixes,"0,32","0,31","0,3","0,28","0,27",general
Flexibility of future expansion,Free time & social interaction,Effect on area revitalization/development,Increase cultural exchange,Porosity,Renovation and new constructions,"0,52","0,49","0,44","0,43","0,36",general
Flexibility of labour market/labour market,Effect on local business and jobs,Creative hubs and meeting points,"Commercial activities linked to Crats, Artisans, Craftsmanship,",Free time & social interaction,Organizations listed on Councils Artist Register,"0,44","0,34","0,29","0,27","0,27",general
Flood Avoidance,Protect hunting and trapping area,Safeguarding the terraced landscape,Protection of culturally important species,Protection UNESCO sites,Diminish the negative visual impacts of forestry operation,"0,61","0,49","0,4","0,37","0,36",general
Floodplain expansion,Maintaining traditional irrigation system,Number of cultural sites affected by natural disasters and urban expansion,Porosity,The age of land,Size,"0,4","0,3","0,3","0,29","0,28",general
Food deserts,Contiguity to Farmlands,Land lot sizes,Total hedgerow length,Permanent grassland indicator,Spiritual services,"0,47","0,42","0,41","0,39","0,34",general
For Joint Budget Size,Effect on Property Value,Availability of cultural site maintenance fund and resource,Funds for building renovation,Spatial coherence,Community arts funding,"0,36","0,35","0,34","0,29","0,29",general
Foreclosures,Viewsheds,Lookout tower,Forest edge indicator,Protect hunting and trapping area,Castles,"0,45","0,43","0,4","0,39","0,34",general
Forest area per capita,Trees Land Cover,Forest edge indicator,Existence of fruit trees,Composite tree risk index,Existence of old habitat trees,"0,79","0,72","0,64","0,61","0,61",general
Forestation and reforestation,Trees Land Cover,Existence of fruit trees,Existence of old habitat trees,Composite tree risk index,Forest edge indicator,"0,74","0,63","0,62","0,61","0,55",general
Free Wi-Fi coverage in public spaces (Wi-Fi hotspots),Free time & social interaction,Crucifixes,"Cultural, leisure and sport facilities, programs, courses",Degree of unobstructed view,"Beautiful, attractive place","0,3","0,3","0,27","0,26","0,23",general
Freshwater scarcity,Maintaining traditional irrigation system,Loss of authenticity and becoming impersonal,Opportunities for ocean viewing,Perceptions of marine associated spirituality,Percent of population participating in first salmon ceremony in past year,"0,3","0,29","0,28","0,27","0,25",general
Fuel Consumption in Municipal Operations,Recreation (motorized/non-motorized),Local concept of sustainable use,Perceptions of marine associated spirituality,Spiritual/religious landscapes,Effect on local business and jobs,"0,34","0,29","0,26","0,23","0,22",general
"Fuel savings related to energy-efficiency interventions, in monetary terms",Availability of cultural site maintenance fund and resource,Therapeutic value,Effect on Property Value,Investments required for restoration of cultural property,Funds for building renovation,"0,48","0,46","0,39","0,39","0,39",general
"Funding for smart city projects (public/private finance, crowdsourced, etc.)",Community arts funding,Development of a public arts fund,Funds for building renovation,Funds for the improvement of the physical urban environment,Revenues from tourism (% farm income),"0,61","0,57","0,52","0,49","0,39",general
GDP Per Unit Area,Total hedgerow length,Dike,Regional products sales (% PDO label),Biorich trees indicator,Garden,"0,49","0,42","0,4","0,36","0,35",general
GDP en millions of yuanes,Regional products sales (% PDO label),Dike,Barrow (traditional elements),Total hedgerow length,Garden,"0,41","0,4","0,32","0,29","0,29",general
GDP per capita,Total hedgerow length,Regional products sales (% PDO label),Dike,Degree of unobstructed view,Garden,"0,46","0,42","0,41","0,35","0,35",general
GDP per employed person,Total hedgerow length,Regional products sales (% PDO label),Garden,Number of products of denominated origin,Dike,"0,37","0,37","0,31","0,3","0,27",general
GHG emissions,Garden,AHB,Total hedgerow length,Avenues of trees,Biorich trees indicator,"0,54","0,48","0,45","0,4","0,34",general
Gender equity in employment,Effect on local business and jobs,"Workspaces of Artisans, Intellectuals & youth",Organizations listed on Councils Artist Register,Number of expert guides in interpretation,Type and amount of training given to tourism employees,"0,5","0,41","0,39","0,32","0,32",general
"General well-being (life expectancy, morbidity and mortality rates, etc.)",Wellness acoustic,Comfortable use,"Beautiful, attractive place",Cleanliness and Improvements,Satisfaction living/working in heritage area,"0,59","0,57","0,51","0,51","0,5",general
Generated waste,Porosity,Plastic Arts,Loss of authenticity and becoming impersonal,Viewsheds,Nostalgia,"0,43","0,29","0,27","0,25","0,23",general
Google hits for the string city name & climate change & drought (hits per million inhabitants),Regional products sales (% PDO label),Rareness (% of area in the study area),Frequency of sharing salmon legends annually,Revenues from tourism (% farm income),Comparability of new construction with local vernacular,"0,43","0,3","0,28","0,27","0,26",general
Google hits for the string city name & climate change & flood (hits per million inhabitants),Regional products sales (% PDO label),Frequency of sharing salmon legends annually,Number of cultural sites affected by natural disasters and urban expansion,Pressure of parking,Revenues from tourism (% farm income),"0,43","0,29","0,25","0,24","0,24",general
Google hits for the string city name & climate change & heatwave (hits per million inhabitants),Regional products sales (% PDO label),Hotel architecture harmonized with environment,Pollution of the façade with modern stylistics,Rareness (% of area in the study area),Number of cultural sites affected by natural disasters and urban expansion,"0,35","0,29","0,28","0,26","0,25",general
Google hits for the string city name & climate change & sea level rise (hits per million inhabitants),Regional products sales (% PDO label),Frequency of sharing salmon legends annually,Number of cultural sites affected by natural disasters and urban expansion,Pressure of parking,Rareness (% of area in the study area),"0,42","0,3","0,29","0,26","0,25",general
Google hits for the string city name & climate change & urban heat island (hits per million inhabitants),Regional products sales (% PDO label),Pollution of the façade with modern stylistics,Number of cultural sites affected by natural disasters and urban expansion,Hotel architecture harmonized with environment,Urban green space,"0,36","0,28","0,27","0,26","0,25",general
Google hits for the string climate change (hits per thousand inhabitants),Regional products sales (% PDO label),Rareness (% of area in the study area),Frequency of sharing salmon legends annually,Revenues from tourism (% farm income),Nostalgia,"0,44","0,34","0,29","0,27","0,26",general
Government transfer payments,Effect on Property Value,Values,Community arts funding,Revenues from tourism (% farm income),Availability of cultural site maintenance fund and resource,"0,51","0,42","0,36","0,35","0,33",general
Government's response to the request for information,Process transparency,Type of information given to visitors before and during site visits,Management type and frequency,Monitor new knowledge and changes in traditional use patterns,Number of citizens initiatives,"0,49","0,44","0,37","0,37","0,36",general
Government-institutional land use,Landscape value index,Iinstitutional management on Creative Residencies,Acres of preserved land,Land lot sizes,Trees Land Cover,"0,43","0,41","0,41","0,41","0,39",general
Governmental transparency,Process transparency,Accessibility,Degree of unobstructed view,View-leading elements,Viewpoints,"0,78","0,61","0,56","0,48","0,47",general
Green Buildings,Urban green space,Enhancement urban green,Garden,Trees Land Cover,State of the building,"0,73","0,63","0,57","0,47","0,35",general
Green Infrastructure,Garden,Enhancement urban green,Urban green space,Trees Land Cover,Existence of old habitat trees,"0,64","0,63","0,61","0,44","0,41",general
Green Space per bare soils,Urban green space,Garden,Permanent grassland indicator,Total hedgerow length,Potential landscape quality index,"0,59","0,56","0,56","0,51","0,48",general
Green Space per built-up area,Urban green space,Trees Land Cover,Enhancement urban green,Garden,Permanent grassland indicator,"0,77","0,52","0,49","0,48","0,35",general
Green Space per impervious cover,Urban green space,Degree of unobstructed view,Trees Land Cover,Total hedgerow length,Acres of open space,"0,6","0,44","0,44","0,42","0,37",general
Green Space per inhabitant,Urban green space,Acres of open space,Degree of unobstructed view,Garden,Spaces rural pedestrian,"0,65","0,42","0,36","0,31","0,3",general
Green Space per vegetation cover,Trees Land Cover,Urban green space,Permanent grassland indicator,Garden,Total hedgerow length,"0,69","0,63","0,62","0,57","0,54",general
Green fuel in public transport,Urban green space,Enhancement urban green,Degree of unobstructed view,Trees Land Cover,Avenues of trees,"0,57","0,41","0,29","0,27","0,24",general
Green infrastructure and green city initiatives,Enhancement urban green,Urban green space,Garden,Garden planning suitable with environment,Trees Land Cover,"0,75","0,68","0,4","0,36","0,31",general
Green infrastructures,Trees Land Cover,Urban green space,Garden,Enhancement urban green,Traditional and environmental engineering,"0,5","0,48","0,42","0,41","0,36",general
Green land cover rate in built area,Urban green space,Trees Land Cover,Potential landscape quality index,Permanent grassland indicator,Garden,"0,63","0,61","0,53","0,49","0,47",general
Green materials in municipal operations,Urban green space,Enhancement urban green,Garden,Trees Land Cover,Experience with local natural- non-agricultural and non-timber products,"0,62","0,45","0,43","0,43","0,41",general
Green shopping,Urban green space,Garden,Enhancement urban green,Trees Land Cover,Experience with local natural- non-agricultural and non-timber products,"0,5","0,48","0,41","0,39","0,33",general
Green space,Urban green space,Garden,Acres of open space,Degree of unobstructed view,Enhancement urban green,"0,75","0,56","0,48","0,43","0,42",general
Green space cover,Urban green space,Trees Land Cover,Acres of open space,Garden,Permanent grassland indicator,"0,72","0,53","0,5","0,5","0,41",general
Green space coverage,Urban green space,Garden,Permanent grassland indicator,Trees Land Cover,Degree of unobstructed view,"0,66","0,53","0,44","0,43","0,4",general
"Green transportation modes (e.g. percentage of green vehicles, EVs, etc.)",Biorich trees indicator,Avenues of trees,Urban green space,Recreation (motorized/non-motorized),L/T ratio,"0,46","0,43","0,39","0,38","0,34",general
Green vs. built–up area,Urban green space,Trees Land Cover,Enhancement urban green,Garden,Existence of old habitat trees,"0,7","0,52","0,51","0,4","0,32",general
"Green/blue urban area  UMZ of core city (EEA, )",Urban green space,Enhancement urban green,Degree of unobstructed view,Dike,Distance from the centre of the old town zone,"0,62","0,41","0,33","0,32","0,31",general
Greenhouse gas emissions,Urban green space,Garden,Traditional and environmental engineering,Total hedgerow length,Trees Land Cover,"0,49","0,46","0,42","0,38","0,37",general
Groundwater Recharge potential,Maintaining traditional irrigation system,Effect on area revitalization/development,Ensure the quality of the traditional resource use activities,Recreation (motorized/non-motorized),Funds for building renovation,"0,44","0,38","0,36","0,34","0,31",general
Groundwater quality,Maintaining traditional irrigation system,Plan that does not spoil natural and historical environment,Protection of the Archaeological Heritage,Garden planning suitable with environment,Ensure the quality of the traditional resource use activities,"0,46","0,41","0,34","0,34","0,32",general
Growth rate,Effect on area revitalization/development,Renovation and new constructions,Size,Percentage of renovated buildings,Porosity,"0,48","0,44","0,38","0,36","0,34",general
Harmony with the surroundings,Increased harmonization of landscapes,"Beautiful, attractive place",Satisfaction living/working in heritage area,Comfortable use,"Impairments of characteristics, aesthetic and cultural value","0,56","0,51","0,48","0,48","0,47",general
Hazardous waste management,Levels of damage,Number and visibility of disturbing elements and objects,Plastic Arts,Cleanliness and Improvements,Therapeutic value,"0,35","0,29","0,27","0,23","0,21",general
Health,Clear strategy,Garden,Accessibility,Number of healing plants,Churches,"0,35","0,34","0,32","0,31","0,31",general
Health conditions,Therapeutic value,Number of healing plants,Research  centers,Landscapes injured,Garden,"0,48","0,38","0,29","0,24","0,22",general
Health coverage,Therapeutic value,Accessibility,Number of healing plants,Clear strategy,Values,"0,53","0,29","0,28","0,27","0,25",general
Health expectancy,Comfortable use,Number of healing plants,Wellness acoustic,Size,Clear strategy,"0,4","0,36","0,34","0,34","0,33",general
Health status of the population,Number of healing plants,Therapeutic value,Comfortable use,Cleanliness and Improvements,Wellness acoustic,"0,48","0,37","0,29","0,28","0,25",general
"Health, safety and enivironmental administration formation in municipality",Hotel architecture harmonized with environment,Percent satisfied with cultural integrity/sense of security,Safeguarding the terraced landscape,Plan that does not spoil natural and historical environment,Implementation of activities in the area,"0,38","0,34","0,32","0,31","0,28",general
"Health, safety and enivironmental initiatives and innovations in municipality level",New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,Implementation of activities in the area,Comparability of new construction with local vernacular,Pollution of the façade with modern stylistics,Innovation and creativity to experience nature and cultural heritage,"0,29","0,28","0,27","0,27","0,26",general
"Health, safety and enivironmental management systems",Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Well-preserved village,Plan that does not spoil natural and historical environment,Protection UNESCO sites,"0,53","0,4","0,35","0,32","0,32",general
"Health, safety and enivironmental media programs",Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Plan that does not spoil natural and historical environment,Crucifixes,Hotel architecture harmonized with environment,"0,43","0,42","0,3","0,29","0,28",general
"Health, safety and enivironmental risk identification",Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Plan that does not spoil natural and historical environment,Well-preserved village,Protection UNESCO sites,"0,53","0,37","0,37","0,32","0,3",general
"Health, safety and enivironmental sustainability plans and project in municipality",Implementation of activities in the area,Plan that does not spoil natural and historical environment,Hotel architecture harmonized with environment,Events successfully implemented and evaluated,Effectiveness of planning in relation to the landscape,"0,39","0,32","0,32","0,31","0,3",general
"Health, safety and enivironmental urban rules",Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Plan that does not spoil natural and historical environment,Hotel architecture harmonized with environment,Proximity to residential areas,"0,45","0,41","0,33","0,29","0,28",general
Healthcare services and infrastructure per capita,Therapeutic value,Funds for building renovation,Percentage of renovated buildings,State of the building,Funds for the improvement of the physical urban environment,"0,42","0,33","0,31","0,28","0,27",general
Heritage and Cultural Identity,Historical/cultural heritage,Preserved historical/cultural values,Cultural/historical events,Heritage,Importance of heritage conservation,"0,92","0,86","0,84","0,82","0,81",general
Higher education completed,Educational,Promotion and education in Past Identities programmes and spaces,Events successfully implemented and evaluated,Scientific/educational landscapes,Areas and objects of educational or scientific value,"0,6","0,46","0,38","0,37","0,37",general
Homeownership rate,Proximity to residential areas,Percentage of renovated buildings,Listed built elements,Effect on Property Value,Croft within the manor territory,"0,55","0,43","0,4","0,36","0,34",general
"Hot water, refrigerator, television and washing machine.",Perceptions of marine associated spirituality,Recreation (motorized/non-motorized),Maintaining traditional irrigation system,Sight line homogeneity,Plastic Arts,"0,31","0,29","0,26","0,24","0,23",general
Household density,Proximity to residential areas,Land lot sizes,Percentage of renovated buildings,Listed built elements,Total hedgerow length,"0,62","0,37","0,36","0,34","0,32",general
Household income p. year (mean or median),Effect on Property Value,Proximity to residential areas,Revenues from tourism (% farm income),Land lot sizes,Values,"0,5","0,42","0,41","0,33","0,3",general
Household spending >30% on housing,Percentage of renovated buildings,Proximity to residential areas,High architectural values,Funds for building renovation,Comparability of new construction with local vernacular,"0,41","0,35","0,32","0,31","0,31",general
Household waste sent to landfills in ton p. year,Creative Uses for Old Buildings,The age of land,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,Loss of landscape elements and character (tangible - intangible),Land lot sizes,"0,32","0,28","0,28","0,26","0,26",general
Housing Diversity,Proximity to residential areas,Listed built elements,Change of man-made structures,Creative Uses for Old Buildings,Percentage of renovated buildings,"0,51","0,43","0,39","0,34","0,33",general
Housing construction materials,Percentage of renovated buildings,Renovation and new constructions,Listed built elements,Funds for building renovation,Building footprints,"0,59","0,59","0,58","0,56","0,55",general
Housing cost burden,Proximity to residential areas,Percentage of renovated buildings,Listed built elements,High architectural values,Building footprints,"0,48","0,48","0,48","0,41","0,37",general
Housing quality,High architectural values,Listed built elements,State of the building,Proximity to residential areas,Percentage of renovated buildings,"0,54","0,53","0,49","0,47","0,39",general
"Housing quality (area per capita), informal housing and slum reduction",Proximity to residential areas,Creative Uses for Old Buildings,Hotel architecture harmonized with environment,Loss of landscape elements and character (tangible - intangible),Diminish the negative visual impacts of forestry operation,"0,43","0,32","0,31","0,27","0,26",general
Housing-related expenditure,Funds for building renovation,Effect on Property Value,Proximity to residential areas,Percentage of renovated buildings,High architectural values,"0,53","0,52","0,47","0,41","0,39",general
ICT-enabled environmental monitoring infrastructure and activities,Processes: governance of cultural ecosystem services indicator,Level of sensitivity of interpretive material and activities pursued,Implementation of activities in the area,Traditional and environmental engineering,Garden planning suitable with environment,"0,31","0,31","0,3","0,29","0,28",general
ICT-enabled innovation leading to new businesses and market opportunities,Enhancement of industrial,Effect on local business and jobs,Effect on area revitalization/development,Increase in arts and cultural participation rates,Funds for the improvement of the physical urban environment,"0,48","0,45","0,45","0,39","0,38",general
IT training and raising awareness about smart city,Enhancement urban green,State of the building,Attractive streetscape,Clear strategy,Enhancement of industrial,"0,46","0,36","0,36","0,35","0,34",general
Identity and local culture,Identify the culture,Shift in level of pride in local cultural heritage,Retention of local customs and language,Respect for residents traditional culture,Valuation of local culture,"0,74","0,65","0,65","0,62","0,61",general
Importance as a knowledge hub,Areas and objects of educational or scientific value,Critical distances in the network,Scientific/educational landscapes,Research  centers,Number of expert guides in interpretation,"0,63","0,49","0,47","0,46","0,46",general
Inclusive design (ageing and disabled),Adjustment for disabled,Accessibility,Number of expert guides in interpretation,Events successfully implemented and evaluated,Spatial coherence,"0,68","0,41","0,4","0,32","0,3",general
Income,Effect on Property Value,Values,Revenues from tourism (% farm income),Size,Therapeutic value,"0,62","0,58","0,44","0,38","0,37",general
Income Level / Income Inquity (Gini Coefficient),Values,Regional products sales (% PDO label),Effect on Property Value,Valuation of local culture,Number of products of denominated origin,"0,44","0,4","0,38","0,37","0,35",general
Income gap between the richest and poorest,Historic monument values,Effect on Property Value,Therapeutic value,Values,Valuation of local culture,"0,45","0,45","0,4","0,39","0,35",general
Income inequality,Effect on Property Value,Values,Revenues from tourism (% farm income),Therapeutic value,Landscape value index,"0,57","0,54","0,42","0,33","0,31",general
Income level heterogeneity,Effect on Property Value,Values,Places heterotopic,Valuation of local culture,Historic monument values,"0,49","0,45","0,39","0,33","0,3",general
"Individual safety and security (e.g., number of deaths attributable to disasters, etc.)",Safeguarding the terraced landscape,Number of protected designated sites,Protection UNESCO sites,Protection of culturally important species,Protect hunting and trapping area,"0,55","0,47","0,44","0,38","0,38",general
Individual security,Protect hunting and trapping area,Safeguarding the terraced landscape,Place Identity,Places of personality,Respect for residents life-style,"0,47","0,46","0,43","0,39","0,38",general
Informal settlements,L/T ratio,Commodifcation,AHB,Loss of authenticity and becoming impersonal,Comparability of new construction with local vernacular,"0,47","0,41","0,41","0,41","0,37",general
"Information on routes, schedules, times",Management type and frequency,Places of events,Type of information given to visitors before and during site visits,Compliance with tourist guidelines,Clear strategy,"0,43","0,41","0,38","0,37","0,32",general
"Information privacy and security management, digital security (against hackers, etc.)",Protect hunting and trapping area,Number of protected designated sites,Number and visibility of disturbing elements and objects,Protection UNESCO sites,Spiritual sites,"0,4","0,4","0,37","0,35","0,32",general
Infrastructure networks,Listed built elements,Critical distances in the network,Renovation and new constructions,Building footprints,Funds for building renovation,"0,48","0,47","0,45","0,45","0,43",general
"Infrastructure, systems and strategies for data collection (sensing, mining, etc.)",Research  centers,Level of sensitivity of interpretive material and activities pursued,Ensure the quality of the traditional resource use activities,Understand how heritage conservation works,Implementation of activities in the area,"0,57","0,55","0,53","0,42","0,4",general
Innovating Practice,Renovation and new constructions,Revitalization historic spaces,Change in tradition and customs,Change of man-made structures,Comparability of new construction with local vernacular,"0,6","0,51","0,5","0,49","0,48",general
Innovative Economic Activities,Renovation and new constructions,Pollution of the façade with modern stylistics,Comparability of new construction with local vernacular,Change of man-made structures,Effect on area revitalization/development,"0,52","0,45","0,45","0,44","0,43",general
Innovative Spirit,Inspirational landscapes,Revitalization historic spaces,Renovation and new constructions,New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,Porosity,"0,53","0,53","0,51","0,5","0,5",general
Innovative Urban Solutions,Attractive streetscape,Renovation and new constructions,Creative hubs and meeting points,Effect on area revitalization/development,State of the building,"0,47","0,43","0,41","0,4","0,4",general
Institutional Capacity,Iinstitutional management on Creative Residencies,Structures: governance of cultural ecosystem services indicator,Renovation and new constructions,Percentage of renovated buildings,Listed built elements,"0,49","0,46","0,46","0,46","0,43",general
Integrated fare/payment system for inter-service fare digital fare collection capability,Values,Linear elements indicator,Accessibility,Availability of cultural site maintenance fund and resource,Results: delivery of cultural ecosystem services indicator,"0,36","0,31","0,31","0,31","0,3",general
Integrated planning between all departments,Clear strategy,Structures: governance of cultural ecosystem services indicator,Efficiency of planning in relation to the landscape,Events successfully implemented and evaluated,Implementation of activities in the area,"0,49","0,44","0,42","0,41","0,41",general
Integrated platform for real-time smart city operation and management,State of the building,Events successfully implemented and evaluated,Enhancement urban green,Attractive streetscape,Number of officially designated sites and its management,"0,44","0,42","0,38","0,37","0,35",general
Intelligent and transparent procurement and bidding systems,Therapeutic value,"Beautiful, attractive place",View-leading elements,High architectural values,Memory/transformative value,"0,42","0,39","0,38","0,36","0,36",general
Intelligent buildings,State of the building,High architectural values,View-leading elements,"Presence of spectacular, unique or iconic elements and landmarks",Enhancement of industrial,"0,81","0,73","0,55","0,54","0,53",general
Interindustrial relations,Enhancement of industrial,Effect on local business and jobs,Number of man-made structures with a function,Creative hubs and meeting points,Change of man-made structures,"0,47","0,45","0,4","0,39","0,36",general
International embeddedness/International integration,Spatial coherence,Sight line homogeneity,Familiarity,Commodifcation,Linear elements indicator,"0,42","0,41","0,4","0,39","0,39",general
Internet Penetration (Netizen Ratio),Crucifixes,Percent of population participating in first salmon ceremony in past year,"Vinehouse, cave",Percentage of renovated buildings,Audiovisual and multimedia performances,"0,37","0,34","0,32","0,3","0,3",general
Interoperability between urban systems and subsystems (using open standards),Community participation in process and type of participation,Accessibility,Creative hubs and meeting points,Enhancement urban green,Process transparency,"0,4","0,37","0,31","0,29","0,29",general
Investment in preventive health,Therapeutic value,Investments required for restoration of cultural property,Effectiveness of planning in relation to the landscape,Funds for building renovation,Levels of damage,"0,57","0,4","0,4","0,4","0,4",general
Investment policies,Effect on Property Value,Funds for building renovation,Values,Development of a public arts fund,Effectiveness of planning in relation to the landscape,"0,58","0,5","0,48","0,46","0,37",general
Jobs/housing balance,Percentage of renovated buildings,Listed built elements,Funds for building renovation,Renovation and new constructions,Building footprints,"0,58","0,47","0,45","0,41","0,4",general
Kernel density of roads and public transport,Pressure of parking,Parking places in building surroundings,Critical distances in the network,Museums,Funds for the improvement of the physical urban environment,"0,39","0,37","0,31","0,29","0,25",general
LANE CYCLE,Linear elements indicator,Castles,L/T ratio,Commodifcation,Spatial coherence,"0,5","0,37","0,35","0,33","0,33",general
LPT travel planner,Clear strategy,Compliance with tourist guidelines,Linear elements indicator,Place Identity,Number of expert guides in interpretation,"0,48","0,4","0,37","0,36","0,32",general
Land Use Mix,Land lot sizes,The age of land,Trees Land Cover,L/T ratio,Increased harmonization of landscapes,"0,53","0,45","0,41","0,4","0,4",general
Land cover change,Trees Land Cover,Diversity of landscape,Forest edge indicator,Landscapes injured,The age of land,"0,66","0,65","0,59","0,54","0,54",general
